sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	1644061	Natrialbaceae	family	0.0		330425	0		0.0		30	0	
pool	216572	Oscillospiraceae	family	0.0		1464834	0		0.0		10	0	
pool	10066	Muridae	family			93150	0				16	0	
pool	414877	Catenulisporaceae	family			2396	0				1	0	
pool	31	Myxococcaceae	family			198749	0				2	0	
pool	145360	Sanguibacteraceae	family	0.9668328045726482	0.9998993802552191	4543013	4392334	4392776.0	0.7777777777777778	0.7777777777777778	9	7	9.0
pool	481	Neisseriaceae	family	0.9894784601540845	0.9541335434975916	2241497	2217913	2324531.0	0.9772727272727273	0.5972222222222222	44	43	72.0
pool	28256	Halomonadaceae	family	0.9962370144374947	0.9348865075642226	3709023	3695066	3952422.0	0.9111111111111111	0.7884615384615384	45	41	52.0
pool	1648490	Rubritaleaceae	family	1.0	0.5866255108311835	2534319	2534319	4320165.0	1.0	0.22727272727272727	5	5	22.0
pool	204431	Fibrobacteraceae	family	1.0	0.19284929701230227	632052	632052	3277440.0	1.0	0.12666666666666668	19	19	150.0
pool	68298	Syntrophomonadaceae	family		0.03688042691751085	79919	79919	2166976.0		0.020833333333333332	2	2	96.0
pool	224464	Kofleriaceae	family			8107	0				1	0	
pool	117942	Desulfurellaceae	family			51971	0				1	0	
pool	206379	Nitrosomonadaceae	family	0.0		358170	0		0.0		12	0	
pool	191394	Deferribacteraceae	family			204368	0				2	0	
pool	72275	Alteromonadaceae	family	0.0		452213	0		0.0		8	0	
pool	125316	Beutenbergiaceae	family			269843	0				3	0	
pool	1890450	Aphanothecaceae	family			18795	0				1	0	
pool	81852	Enterococcaceae	family	0.2794655264835972	0.07913732983317662	787242	220007	2780066.0	0.3333333333333333	0.05813953488372093	15	5	86.0
pool	1737406	Tissierellaceae	family		0.03552255771174168	196894	181696	5114947.0		0.008547008547008548	3	1	117.0
pool	1963268	Haloarculaceae	family			186760	0				11	0	
pool	69657	Hyphomonadaceae	family	0.0		539640	0		0.0		7	0	
pool	9604	Hominidae	family			27413	0				14	0	
pool	2004	Streptosporangiaceae	family			58766	0				4	0	
pool	972	Halanaerobiaceae	family			143050	0				2	0	
pool	31953	Bifidobacteriaceae	family			102944	0				5	0	
pool	1843490	Sporomusaceae	family			209641	0				6	0	
pool	118882	Brucellaceae	family			45261	0				4	0	
pool	31993	Methylocystaceae	family			62641	0				16	0	
pool	2212439	Thiolinaceae	family	0.0		1316570	0		0.0		11	0	
pool	85016	Cellulomonadaceae	family			128794	0				5	0	
pool	206349	Hydrogenophilaceae	family			12826	0				1	0	
pool	772	Bartonellaceae	family			71963	0				1	0	
pool	128827	Erysipelotrichaceae	family			79000	0				3	0	
pool	31957	Propionibacteriaceae	family			8384	0				4	0	
pool	742031	Salinisphaeraceae	family			12396	0				1	0	
pool	335928	Xanthobacteraceae	family	0.0		368980	0		0.0		3	0	
pool	1442156	Ferrovaceae	family			13486	0				2	0	
pool	1046	Chromatiaceae	family			46849	0				3	0	
pool	3650	Cucurbitaceae	family			22201	0				1	0	
pool	7736	Branchiostomidae	family			77492	0				1	0	
pool	85034	Glycomycetaceae	family	0.9920923079187302	0.3646246924687871	2038395	2022276	5546185.0	0.8	0.19047619047619047	5	4	21.0
pool	1647988	Akkermansiaceae	family			10410	0				1	0	
pool	213117	Desulfohalobiaceae	family			270483	0				2	0	
pool	568386	Sinobacteraceae	family			96210	0				1	0	
pool	775	Rickettsiaceae	family			42838	0				1	0	
pool	649777	Synergistaceae	family			69605	0				1	0	
pool	45401	Hyphomicrobiaceae	family	0.9957784904518588	0.04303995775728074	1583083	1576400	36626430.0	0.9	0.036585365853658534	10	9	246.0
pool	213116	Desulfomicrobiaceae	family		0.0178311244276377	172161	44277	2483130.0		0.05	5	1	20.0
pool	81850	Leuconostocaceae	family			150762	0				4	0	
pool	7089	Bombycidae	family			3563	0				5	0	
pool	74712	Frankiaceae	family			171752	0				4	0	
pool	563843	Rhodothermaceae	family			29081	0				1	0	
pool	204434	Acidobacteriaceae	family			89917	0				2	0	
pool	9821	Suidae	family			242115	0				1	0	
pool	1963271	Halorubraceae	family			41962	0				5	0	
pool	186828	Carnobacteriaceae	family	0.5928946725317693	0.10981124336098558	392832	232908	2120985.0	0.5555555555555556	0.09090909090909091	9	5	55.0
pool	2008795	Azonexaceae	family			114418	0				4	0	
pool	186818	Planococcaceae	family			214115	0				5	0	
pool	3602	Vitaceae	family			8777	0				1	0	
pool	1706374	Porticoccaceae	family			11566	0				1	0	
pool	1903414	Morganellaceae	family			83724	0				12	0	
pool	1333713	Schleiferiaceae	family			34245	0				1	0	
pool	7953	Cyprinidae	family			56088	0				1	0	
